event_url,event_title,event_image,event_description,event_time,event_category,event_location,event_organization
https://www.eventbrite.com/e/wisconsins-best-bloody-mary-fest-madison-tickets-61668577375,Wisconsin's Best Bloody Mary Fest - Madison,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F62713243%2F122595040887%2F1%2Foriginal.20190522-152631?w=1000&auto=compress&rect=0%2C31%2C810%2C405&s=385be6aa6f24e4dce3b2ac491f4213c1,"We are on the continuous search for Wisconsin�s Best Bloody Mary and we are coming back to Madison! Join us Saturday September, 14 at Yahara Bay Distillers for a day filled with bloodies, music, food, gear, games, old friends, new friends, and some fantastic shenanigans. WHAT IS WI�S BEST BLODDY MARY FESTIVAL?  Our festivals are one way we bring Bloody Mary lovers and small businesses together to have a good time and celebrate each other. Bars from all over the state congregate to whip up their best Bloody Mary. Participants taste, vote, play games, dance, eat, and of course create at one of the gourmet build you own Bloody Mary Bars. The day begins at 10am for VIP and invited judges. All other Bloody Mary lovers join in at 12pm and continue with the fun until 4pm. WI�s Best Bloody Mary Fest is brought to you by 100 Mile Sauce Co., Yahara Bay Distillers, and Capital Brewery. Here are all the details for you….REGISTRATION:Early registration will be on Friday September 13 from 4pm – 7pm. Locations will be Metcalfe's Market Hilldale, Yahara Bay Distillers, and Daly's Bar and Grill (1086 Emerald Terrace, Sun Prairie).Day of registration will be available at Yahara Bay Distillers and begin at 10am. We will have a holding pen with local beer for participants to prime themselves before diving into the festival.SHUTTLE SERVICES:Shuttle services will be for the morning to allow participants an easy way to park and get to the event. Parking is limited at Yahara Bay Distillers.Listed hotels will also provide shuttles. HOTELS:The following hotels are offering a discount and will also shuttle to and from the event.FOOD:VIP Tickets will include catering from Slide Food Cart, Catering, and Gourmet Potato ChipsLocal food carts will be serving all day. MUSIC:We will have a band from 11:30-1:30 and a DJ will begin at 2pmCOMPETITORS:This is a competition for WI�s Best Bloody Mary. Therefore, we will accept both amateur and professional Bloody Mary gods and goddesses to compete. Here is the link with all the rules and regulations: https://forms.gle/JmkqWyFcsyEiwXEY9Already signed up to compete include: Daly's Bar & Grill, Ten Pin Alley, Pepi's Pub and Grill, NessAlla Kombucha, Badger Chow, Liliana's Restaurant, Fuegos - Steak•Tapas•Vegan, Tangent, and some amazing amateurs. GOODMAN CENTER:Pretzel necklaces will be sold to raise money for the Goodman CenterTIMELINE:10am – 12pm: Invited Judging and VIP only12pm – 4pm: Everyone elseTICKETS:VIP Tickets –  $80 (There are no early bird ticket prices for VIP)Ticket includes: Unlimited Bloody Marys and beer, early admission, access to both indoor and outdoor VIP lounges, access to the special Capital beer in VIP lounges, catered food in the indoor VIP lounge, an official festival t-shirt, and an exclusive 100 Mile Sauce gift to celebrate their new product. There are limited numbers of VIP tickets.General Admission Tickets – Unlimited Bloody Marys and beer.***Early Bird: $45 (There are limited numbers of these and they close on August 5)***Regular price: $55***Day of price: $60Add on an official festival shirt for $20Designated Driver -  $20 and includes n/a drinks and a t-shirtAnd remember.....***No outside food or drink brought into the event please. ***Service animals only. ***Reminder, this is a 21+ event. Yes we will be checking IDs. ***We reserve the right to eject anyone to intoxicated to function.","Sat, September 14, 2019, 10:00 AM – 4:00 PM CDT, ",Madison Festivals,"Yahara Bay Distillers Inc , 6250 Nesbitt Road , #200 , Madison, WI 53719 , ", 100 Mile Sauce Company and Wisconsin's Best Bloody Mary Fest
https://www.eventbrite.com/e/geekcraft-expo-madison-2019-tickets-58609148541,GeekCraft Expo MADISON 2019,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F58286080%2F257232670913%2F1%2Foriginal.20190311-220903?w=1000&auto=compress&rect=0%2C13%2C1200%2C600&s=3b9122e3f5678324b4af2d63bd51fb73,"IT'S LIKE A MALL FOR GEEKS!If you're looking for ""that"" special thing--or things--to complement your geeky lifestyle, there is simply no better place to shop; everything for sale at GeekCraft Expo is incredibly unique, limited in quantity (i.e. NOT mass produced—this stuff is all made by hand) and TOTALLY NERDY! SUPPORT YOUR LOCAL NERDS!Why give your money to HYDRA...er, the big box stores when you can instead support LOCAL crafters and makers? FREE & FAMILY FRIENDLY!GeekCraft Expo provides geeky, super-fun make-n-take crafting activities for kids & families...free of charge! For kids (and adults) who are into superheroes, gaming and/or geeky things in general, GeekCraft Expo is the perfect day out….because superheroes, gaming and/or geeky things in general is what GeekCraft Expo IS, wall to wall! Cosplay is highly encouraged (get one more use out of that Halloween costume!) and admission is FREE -- you just need to pre-register! Otherwise, it's $2 for adults 13 & over (children 12 & under need not pre-register).","Sat, August 17, 2019, 10:00 AM – 5:00 PM CDT, ",Madison Conventions,"Madison Masonic Center , 301 Wisconsin Avenue , Madison, WI 53703 , ", GeekCraft Expo Inc.
https://www.eventbrite.com/e/an-evening-with-bob-goff-the-dream-big-and-love-extravagantly-conference-tickets-61134338452,An Evening with Bob Goff: The Dream Big and Love Extravagantly Conference,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F63581631%2F259310225704%2F1%2Foriginal.20190607-213721?w=1000&auto=compress&rect=0%2C64%2C2400%2C1200&s=52ee8778f72e0a459c00e0daaabc1a76,"What goals and dreams have you been putting off out of fear, or the thought that it's ""too hard?"" What self-perceptions have been holding you back from living out your full purpose? Chances are, Bob could talk you out of those thoughts and send you charging into your next adventure. Bob Goff, New York Times best-selling author of Love Does and Everybody Always, has inspired millions to dream big and unlock their potential to love and be loved. Through his unique perspective and trademark storytelling, Bob will unpack some of his Dream Big Framework and what it means to love without inhibition, insecurity, or restriction. Join us for this powerful two-session conference with Bob Goff to learn from his example of a no-limits embrace of others that is as wild and infectious as it is extraordinarily ordinary.An Evening with Bob Goff is sponsored by WE International, Inspiring Hope Ministries, and Upper House.3:15 pm - Doors Open / Check-in Begins4:00 pm - Session 1: Dream Big5:30 pm - Dinner Break Off-Site (not included in ticket price)7:00 pm - Session 2: Love Extravagantly 8:30 pm - Book SigningAll seating is general admission. Student IDs will be checked at the door for student tickets.The dinner break is off-site. There are many fast-serve restaurants available within walking distance of Upper House. Printed area maps will be available at the welcome desk. Bob Goff's books will be for sale at Upper House during the conference.Bob Goff is a two-time New York Times Best-Selling author of Love Does and Everybody Always, Honorary Consul to the Republic of Uganda, and an attorney who founded Love Does—a non-profit human rights organization operating in Uganda, India, Nepal, Afghanistan, and Somalia. He's a lover of balloons, cake pops, and helping people pursue their big dreams. Bob's greatest ambitions in life are to love others, do stuff, and most importantly hold hands with his wife, Sweet Maria Goff, and spend time with their amazing kids. For more, see BobGoff.com and LoveDoes.org.An Evening with Bob Goff is sponsored by WE International, Inspiring Hope Ministries, and Upper House. WE International, through a relational approach, exists to address poverty and injustice issues in the developing world by giving hope to people who live in difficult, if not desperate, situations through empowering and sustainable programs.Inspiring Hope Ministries creates accessible opportunities to pursue healing, faith, and the creative arts for individuals with disabilities, their families, and their extended communities, helping them build a meaningful life and give voice to their vulnerability.Upper House curates experiences of Christian thinking, being, and doing, through our physical space, the programs we offer, and by extending hospitality to others for individual transformation and for the life of the world.","Fri, October 4, 2019, 4:00 PM – 9:00 PM CDT, ",Madison Conferences,"Upper House , 365 East Campus Mall , Suite 200 , Madison, WI 53715 , ", Upper House
https://www.eventbrite.com/e/2019-forward-pass-tickets-63543314765,2019 Forward Pass,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F63986770%2F5316881454%2F1%2Foriginal.20190617-020358?w=1000&auto=compress&rect=300%2C0%2C1200%2C600&s=79ccff043404cf8b037b33e2e398bc95,"The Forward Pass is the fastest, easiest, and the most cost-effective way to take advantage of all the Forward Fest has to offer. The one pass gets you into all the events listed on our website as included in the pass. Plus, you�ll get an awesome t-shirt :)","Thu, Aug 22, 2019, 8:00 AM –, Thu, Aug 29, 2019, 10:00 PM CDT, ",Madison Networking,"Madison , Madison, WI 53703 , ", Forward Festival
https://www.eventbrite.com/e/madison-fitness-week-2019-tickets-65694089791,Madison Fitness Week 2019,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F65727191%2F266787774694%2F1%2Foriginal.20190717-155920?w=1000&auto=compress&rect=0%2C2%2C810%2C405&s=7dc01cadce554bb7ec9713655bb52df4,"25+ GYMS - ONE FREE CLASS AT EACH!MAJORITY OF TICKET SALES GO TO THE UNITED WAY OF DANE COUNTYTHE BARRE CODE | BARRE DISTRICT MADISON | BARRE3 | BURN BOOT CAMP | CANVAS CLUB BOXING | CLUB PILATES | CROSSFIT CONNEX | CYC | CYCLEBAR | DIGMAN FITNESS | DRAGONFLY | EARTHVIEW YOGA EMPOWER STRENGTH AND FITNESS | FIRE FITNESS CAMP MADISON FLYGHT | FUNCTIONAL INTEGRATED TRAINING | HARBOR ATHLETIC CLUB | INNER FIRE YOGA | IRON GRIP GYM | JULES PILATES | KAMPS MONONA YOGA | NOVEMBER PROJECT MADISON | OMNI FIGHT CLUB REFORMADISON | SOLIDCORE Once you purchase your ticket, you will be emailed with the ""acess code"" to open the class sign up page on our website. Here, you'll find all the gym information and class types! Reservation information will be posted to the sign up page on 9/1.  9/11-9/15 – SWAG BAG PICK UP AT LULULEMON HILLDALE9/15 – MADISON FITNESS WEEK BEGINS! USE YOUR ACCESS CODE TO OPEN THE INFORMATION PAGE AND START SIGNING UP FOR CLASSES!9/18 – MID-WEEK EVENT WITH OM BREWERS. POST CLASS HAPPY HOUR FROM MICHELOB ULTRA. {LIMITED CAPACITY - ONLY THE FIRST 50 TO SIGN UP WILL HAVE ACESS. CHECK SOCIAL FOR MORE DETAILS}9/22 – MADISON FITNESS WEEK “FIT FEST” WRAP PARTY AT BREESE STEVENS FIELD WITH A WORKOUT FROM LOCAL TRAINERS. ALL MADISON FITNESS WEEK PARTICIPANTS ARE WELCOME!!! COME WORKOUT AND ENJOY THE AFTER PARTY!AFTER 9/22 - TAKE ADVANTAGE OF THE “POST MADISON FITNESS WEEK DEALS” FROM ALL OUR GYMS!","Sun, Sep 15, 2019, 5:00 AM –, Sun, Sep 22, 2019, 8:00 PM CDT, ",Madison Festivals,"Madison , Madison, WI 53703 , ", Madison Fitness Week
https://www.eventbrite.com/e/margarita-crawl-madison-tickets-63149223026,Margarita Crawl Madison,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F62355396%2F306696524004%2F1%2Foriginal.20190515-204659?w=1000&auto=compress&rect=200%2C0%2C2922%2C1461&s=e13e815ccdbc347c5f4a58e29b63325c,"Tickets: https://www.eventbrite.com/o/bar-crawl-unlimited-20202381636 Early Bird: Tickets Start at $20 and go up to $35 as the crawl gets closer and tickets sellout. Day of Crawl Price: $355+ Venues!Discounted Drinks at all venues!Entry to the after party! Free take-home swag! Limited up to the first 100 people.Date: 09/21/2019Time: 2p-8pRegistration Time: 2p-4pRegistration Venue: TBATHIS EVENT IS 100% RAIN OR SHINEAbout us: Bar Crawl Unlimited is a small business that has one goal… Create memories that will last a lifetime! Our events are immensely popular, but for this theme we will keep the numbers lower to enhance the experience of the ticket holders. This means that this event WILL SELL OUT WAY IN ADVANCE.You must have a ticket be a part of the crawl and enjoy the benefits. Wristbands will be checked at all venues.You must attend the event to collect your take home swag, it will not be shipped to youIt is the ticket holder's responsibility to collect their take home swag on the day if you are in the first 100 or so in line.21+ event, photo ID required all dayAll tickets are non refundable, but are transferable: simply forward your barcoded ticket to somebody if you can no longer attend!The promoter reserves the right to change the venues and order of venues at any given time. Refunds are not accepted but we are flexible if you cannot make this event after getting tickets email us and we can give you a credit to another crawl!","Sat, September 21, 2019, 2:00 PM – 8:00 PM CDT, ",Madison Tours,"Madison , Madison , Madison, WI , ", Bar Crawl Unlimited
https://www.eventbrite.com/e/in-business-expo-conference-2019-registration-54138959084,In Business Expo & Conference 2019,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F54361804%2F23564744566%2F1%2Foriginal.jpg?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=a3476ea32b140dd44e2fac3d8830eff7,"On Oct. 16, 2019, In Business magazine will host the 9th annual In Business Expo & Conference! This is Dane County's premier business-to-business expo connecting over 1,100 attendees and with more than 100 exhibiting companies.The event kicks off with a keynote presentation by Dennis Snow, a customer service expert with over 20 years of experience with Walt Disney World: Delivering World-Class Customer Service – Lessons From The Mouse.Customers have more choices than ever, with the result that most products and services are increasingly seen as commodities. So, in today�s market, what can an organization do to stand out from the crowd? Differentiating your service is the key to attracting and retaining customers – while driving bottom line results. More than ever customers are focused on value - what you can do that other organizations cannot or will not do. Customers want to know that you are focused on earning their ongoing loyalty. Based on his 20 years with Walt Disney World along with many years of consulting with organizations around the world, Dennis Snow will provide a “how-to” program for delivering outstanding customer experiences. This program will provide you with strategic tools that can be used to raise the bar of service throughout your organization, resulting in “walk-through-fire” customer loyalty.",None,Monona Expos,"Exhibition Hall at the Alliant Energy Center , 1919 Alliant Energy Center Way , Madison, WI 53713 , ", In Business magazine
https://www.eventbrite.com/e/isthmus-oktobeerfest-2019-tickets-64568227306,Isthmus OktoBEERfest 2019,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64721734%2F252227720800%2F1%2Foriginal.jpg?w=1000&auto=compress&rect=0%2C49%2C1920%2C960&s=ffd71358bdd9206b1d1a5bab5ac2b9c2,"Prost! Isthmus OktoBEERfest is back for the fifth year with new and favorite breweries from Madison and beyond. On Sept. 14, join us at Breese Stevens Field for Isthmus' modern interpretation of the classic German-style fest.Tickets include:For the 2019 brewery, winery and vendor lineup, visit isthmusoktobeerfest.com. More details will be announced soon!Get to and from the fest with Lyft, the Official Ride Smart Sponsor of Isthmus OktoBEERfest.Isthmus OktoBEERfest is a 21 and older event. This event is rain or shine. Tickets to Isthmus events support local and independent journalism. Thank you for your support of Madison's alt-weekly!","Sat, September 14, 2019, 3:00 PM – 7:00 PM CDT, ",Madison Festivals,"Breese Stevens Field , 917 East Mifflin Street , Madison, WI 53703 , ", Isthmus
https://www.eventbrite.com/e/madison-nonprofit-day-conference-2019-tickets-64751625856,Madison Nonprofit Day Conference 2019,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64898048%2F6353307001%2F1%2Foriginal.20190704-210145?w=1000&auto=compress&rect=3%2C0%2C2152%2C1076&s=745983b8c1e2cb9e969d8ce410692885,"Madison Nonprofit Day is a single day, skills-building, and networking conference. Dedicated to providing engaging education, networking, and skills-building opportunities for the social sector— nonprofit professionals, social entrepreneurs, and community leaders.We offer an array of workshops and presentations that are informative, relevant, provoke discussion, provide opportunities for participant engagement, and encourage opportunities for user replication. The day includes lots of opportunities to network, stress relief activities, lunch, and a keynote presentation.Expect between 500-600 professionals, throughout the day, from a wide array of nonprofit and nonprofit adjacent— service providers, philanthropy, etc.—attend. Invest in your staff, your most valuable resources—send them to be educated, inspired, and revitalized.LEARN MOREVisit our website, https://madisonnonprofitday.org, to learn more about exhibitor and sponsorship opportunities, as well as presenters and workshops (which will be added throughout the month).","Thu, October 31, 2019, 8:00 AM – 5:00 PM CDT, ",Madison Conferences,"Monona Terrace Community and Convention Center , 1 John Nolen Drive , Madison, WI 53703 , ", Madison Nonprofit Da
https://www.eventbrite.com/e/wisconsin-biohealth-summit-2019-presented-by-bioforward-tickets-63679642525,Wisconsin Biohealth Summit 2019 - Presented by BioForward,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64103118%2F4627360358%2F1%2Foriginal.20190618-200447?w=1000&auto=compress&rect=0%2C0%2C2500%2C1250&s=ca136d44ef3f6868308b3de1c7e5549b,"BioForward�s annual Biohealth Summit serves as a platform for highlighting Wisconsin�s diverse biohealth community, collaborating on new opportunities, and forging our path to continued growth.  The event will be held at the Overture Center in the heart of downtown Madison on October 2nd, 2019.To learn more and see event updates, visit www.wisconsinbiohealthsummit.org!SUMMIT HIGHLIGHTS:CROWD RELEASEBy entering and by your presence here, you consent to be photographed, filmed and/or otherwise recorded. Your entry constitutes your consent to such photography, filming and/or recording and to any use, in any and all media throughout the universe in perpetuity, of your appearance, voice, and name for any purpose whatsoever in connection with your attendance at the 2019 Wisconsin Biohealth Summit. You understand that all photography, filming and/or recording will be done in reliance on this consent given by you by entering this area. Thank you.","Wed, October 2, 2019, 7:30 AM – 5:00 PM CDT, ",Madison Conferences,"Overture Center for the Arts , 201 State Street , Madison, WI 53703 , ", BioForward
